#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,nfs-utils,"are support programs for NFS."
,noto-fonts,"is Google's Noto TTF font."
,noto-fonts-cjk,"is Google's Noto TTF font for Asian scripts."
,noto-fonts-emoji,"is an emoji font."
,npm,"is a package manager for Javascript."
,ntfs-3g,"allows accessing NTFS partitions."
,offlineimap,"is an email fetching program."
,openssh,"is a SSH connection tool."
,ossp,"is an OSS compatibility module for Systemd."
,pamixer,"is a command-line audio interface."
,pavucontrol,"is a Pulseaudio volume controller for X."
,picom,"is a compositor for X."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
,python-pip,"is an installer for Python packages."
,python2-pip,"is an installer for Python2 packages."
,qutebrowser,"is a Vim-like web browser."
,ranger,"is the Ranger file browser."
,ripgrep,"is a pattern matching search tool."
,rsync,"is a file copying tool."
,screenkey,"is a screencast tool."
,shellcheck,"is a BASH linter."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,sxhkd,"is a simple hotkey daemon for X."
,sxiv,"is a minimalist image viewer."
,thunar,"is a file manager for X."
,tig,"is a text-mode Git interface."
,tldr,"is a client for tldr."
,tmux,"is a terminal multiplexer."
,trash-cli,"is a command line trash interface."
,tumbler,"is a thumbnail requester for D-Bus."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,urlscan,"is a url scanner for the terminal."
,vlc,"is a multimedia player."
,wget,"is a file downloader."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xcompmgr,"is for transparency and removing screen-tearing."
,xdotool,"provides window action utilities on the command line."
,xorg-server,"is the graphical server."
,xorg-xbacklight,"enables changing screen brightness levels."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,xorg-xev,"prints contents of X events."
,xorg-xinit,"starts the graphical server."
,xorg-xkill,"kills a client by its X resource."
,xorg-xprop,"is a tool for detecting window properties."
,xorg-xrandr,"is a RandR interface."
,xorg-xset,"is an X user preference utility."
,xorg-xsetroot,"sets root window color."
,xorg-xwininfo,"allows querying information about windows."
,xscreensaver,"is an X screen save and locker."
,xterm,"is the old-school terminal for X."
,xwallpaper,"sets the wallpaper."
,yad,"is a modern replacement for Zenity."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,zenity,"displays graphical dialog boxes from shell scripts."
,zip,"is a zip archiver."
,zsh,"is a shell program."
,zsh-autosuggestions,"provides suggestions for zsh."
,zsh-completions,"provides completions for zsh."
A,bitwarden-bin,"is a graphical password vault."
A,bitwarden-cli-bin,"is a command line password vault."
A,brother-dcpl2540dw-cups,"is a printer driver."
A,bsp-layout,"provides additional layouts for bspwm."
A,dragon-drag-and-drop,"is a graphical file picker."
A,gtk-theme-arc-gruvbox-git,"provides the dark GTK theme used in LARBS."
A,lf-git,"is an extensible terminal file manager that everyone likes."
A,librewolf-bin,"is a privacy-focused web browser for the modern web."
A,otf-symbola,"is a monochrome emoji font."
A,polybar,"is a status bar for X."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
A,simple-mtpfs,"enables the mounting of cell phones."
A,spaceship-prompt,"is a prompt theme for ZSH."
A,task-spooler,"queues commands or files for download."
A,ttf-ubraille,"is a braille font."
A,ucollage,"is a terminal image viewer based on Ueberzug."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
G,https://github.com/Sife-ops/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/Sife-ops/hosts-gen.git,"generates /etc/hosts block list."
G,https://github.com/Sife-ops/st.git,"is my custom build of suckless's terminal emulator."
